Name,Rating,Status,Opening/Closing Time,Venue Type,Url
Çiçek Bar,"4,2 yıldızlı 346 Yorum",Kapalı,⋅ Açılış saati: 21:00,Canlı Müzik Olan Bar,https://www.google.com/maps/place/%C3%87i%C3%A7ek+Bar/data=!4m7!3m6!1s0x14cab76388260727:0xbce853d68593f2c4!8m2!3d41.034565!4d28.9840046!16s%2Fg%2F1tdhp0nh!19sChIJJwcmiGO3yhQRxPKThdZT6Lw?authuser=0&hl=tr&rclk=1
Taksim Lounge Cafe-Bar,"4,2 yıldızlı 5 Yorum",Kapalı,⋅ Kapanış saati: 03:30,Bar,https://www.google.com/maps/place/Taksim+Lounge+Cafe-Bar/data=!4m7!3m6!1s0x14cab77630c65749:0x7324e95567114547!8m2!3d41.034733!4d28.9815809!16s%2Fg%2F11f5_689b7!19sChIJSVfGMHa3yhQRR0URZ1XpJHM?authuser=0&hl=tr&rclk=1
City Lights Bar - InterContinental Istanbul,"4,5 yıldızlı 294 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/City+Lights+Bar+-+InterContinental+Istanbul/data=!4m7!3m6!1s0x14cab767aaaaaaab:0x62f3e06be1491d9b!8m2!3d41.0398623!4d28.9879666!16s%2Fg%2F11b7pzsvgh!19sChIJq6qqqme3yhQRmx1J4Wvg82I?authuser=0&hl=tr&rclk=1
Kumsaati Blues Club,"4,6 yıldızlı 635 Yorum",Açık,⋅ Kapanış saati: 03:00,Blues Kulübü,https://www.google.com/maps/place/Kumsaati+Blues+Club/data=!4m7!3m6!1s0x14cab9e0e17d1487:0x5ab971c70053b871!8m2!3d41.0295141!4d28.9734601!16s%2Fg%2F11bxg34_qs!19sChIJhxR94eC5yhQRcbhTAMdxuVo?authuser=0&hl=tr&rclk=1
LOOT TERRACE,"4,6 yıldızlı 440 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/LOOT+TERRACE/data=!4m7!3m6!1s0x14cab783819473e1:0xbb934400a21ea0ac!8m2!3d41.036248!4d28.981757!16s%2Fg%2F11h7l14zqy!19sChIJ4XOUgYO3yhQRrKAeogBEk7s?authuser=0&hl=tr&rclk=1
Munzur Cafe Bar,"4,0 yıldızlı 243 Yorum",Açık,⋅ Açılış saati: 15:00,Bar,https://www.google.com/maps/place/Munzur+Cafe+Bar/data=!4m7!3m6!1s0x14cab761452af11d:0x1e433aeb9b4eb9d4!8m2!3d41.0345332!4d28.9812594!16s%2Fg%2F1tht94s0!19sChIJHfEqRWG3yhQR1LlOm-s6Qx4?authuser=0&hl=tr&rclk=1
Asmalı Shot House,"4,4 yıldızlı 184 Yorum",Kapalı,⋅ Açılış zamanı: Cum 23:00,Bar,https://www.google.com/maps/place/Asmal%C4%B1+Shot+House/data=!4m7!3m6!1s0x14cab9e0e9536d6d:0x4811cbb361583704!8m2!3d41.0295135!4d28.9743378!16s%2Fg%2F11gf0dblrb!19sChIJbW1T6eC5yhQRBDdYYbPLEUg?authuser=0&hl=tr&rclk=1
Damlalar Türküevi,"4,8 yıldızlı 634 Yorum",Kapalı,⋅ Kapanış saati: 01:30,Bar,https://www.google.com/maps/place/Damlalar+T%C3%BCrk%C3%BCevi/data=!4m7!3m6!1s0x14cab76113f4f4cf:0xae915ca903a4e216!8m2!3d41.034179!4d28.980253!16s%2Fg%2F1tfz7hy0!19sChIJz_T0E2G3yhQRFuKkA6lcka4?authuser=0&hl=tr&rclk=1
9/6 Coffee & Pub,"4,0 yıldızlı 59 Yorum",Açık,⋅ Açılış saati: 23:00,Pub,https://www.google.com/maps/place/9%2F6+Coffee+%26+Pub/data=!4m7!3m6!1s0x14cab7669e02d4bb:0x88830b8f8187053a!8m2!3d41.0365457!4d28.9819516!16s%2Fg%2F11ddz_sxf7!19sChIJu9QCnma3yhQROgWHgY8Lg4g?authuser=0&hl=tr&rclk=1
LOST TERAS,"4,2 yıldızlı 160 Yorum",Kapalı,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/LOST+TERAS/data=!4m7!3m6!1s0x14cab76420ac4f9f:0xb081c1d4efaa695f!8m2!3d41.0365476!4d28.9819433!16s%2Fg%2F11cn9p6cm2!19sChIJn0-sIGS3yhQRX2mq79TBgbA?authuser=0&hl=tr&rclk=1
Stay Club Istanbul,"3,9 yıldızlı 603 Yorum",Açık,⋅ Açılış saati: 17:00,Gay Bar,https://www.google.com/maps/place/Stay+Club+Istanbul/data=!4m7!3m6!1s0x14cab766bb243d7f:0x92317164790a18eb!8m2!3d41.0349709!4d28.984861!16s%2Fg%2F1vkr0tm9!19sChIJfz0ku2a3yhQR6xgKeWRxMZI?authuser=0&hl=tr&rclk=1
Ispanak Bar,"4,2 yıldızlı 2.146 Yorum",Kapalı,⋅ Açılış saati: 17:00,Bar,https://www.google.com/maps/place/Ispanak+Bar/data=!4m7!3m6!1s0x14cab763fb3bbcb9:0x5a13ef3f29dea125!8m2!3d41.0342712!4d28.9827899!16s%2Fg%2F1tg_6hrd!19sChIJubw7-2O3yhQRJaHeKT_vE1o?authuser=0&hl=tr&rclk=1
Taksim Class Bar,"4,0 yıldızlı 70 Yorum",Kapalı,⋅ Kapanış saati: 03:00,Bar,https://www.google.com/maps/place/Taksim+Class+Bar/data=!4m7!3m6!1s0x14cab76f0e0b2aab:0xb494fd40fa65b3b0!8m2!3d41.0404754!4d28.9843985!16s%2Fg%2F11c1xp71nm!19sChIJqyoLDm-3yhQRsLNl-kD9lLQ?authuser=0&hl=tr&rclk=1
Şiirci,"4,6 yıldızlı 145 Yorum",Açık,⋅ Açılış saati: 16:00,Bar,https://www.google.com/maps/place/%C5%9Eiirci/data=!4m7!3m6!1s0x14cab7be68a0bc47:0xac883aeff0ea4a94!8m2!3d41.0362497!4d28.9809501!16s%2Fg%2F11j1tn1q3r!19sChIJR7ygaL63yhQRlErq8O86iKw?authuser=0&hl=tr&rclk=1
Otantik Türkü Bar,"3,6 yıldızlı 573 Yorum",Kapalı,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Otantik+T%C3%BCrk%C3%BC+Bar/data=!4m7!3m6!1s0x14cab765d0e80813:0x499d2f8cd5145570!8m2!3d41.0348738!4d28.9782535!16s%2Fg%2F1thwlq2y!19sChIJEwjo0GW3yhQRcFUU1YwvnUk?authuser=0&hl=tr&rclk=1
Pinokyo Terrace Club,"4,1 yıldızlı 788 Yorum",Açık,⋅ Açılış saati: 17:00,Bar,https://www.google.com/maps/place/Pinokyo+Terrace+Club/data=!4m7!3m6!1s0x14cab76146fb163b:0xea55b21d7b1674a7!8m2!3d41.0346709!4d28.9825934!16s%2Fg%2F1v3wh2g9!19sChIJOxb7RmG3yhQRp3QWex2yVeo?authuser=0&hl=tr&rclk=1
Pacific House,"4,3 yıldızlı 123 Yorum",Kapalı,⋅ Kapanış saati: 03:00,Bar,https://www.google.com/maps/place/Pacific+House/data=!4m7!3m6!1s0x14cab9e0f308c2c1:0x23dac603a607ca96!8m2!3d41.0298406!4d28.9745394!16s%2Fg%2F1tggdg_q!19sChIJwcII8-C5yhQRlsoHpgPG2iM?authuser=0&hl=tr&rclk=1
Geyik,"4,4 yıldızlı 743 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Geyik/data=!4m7!3m6!1s0x14cab762129b11b3:0x58e794e84be24c44!8m2!3d41.0303462!4d28.9838084!16s%2Fg%2F1hc5ggf2l!19sChIJsxGbEmK3yhQRREziS-iU51g?authuser=0&hl=tr&rclk=1
Bodega Cafe & Pub,"4,1 yıldızlı 113 Yorum",Açık,⋅ Kapanış saati: 02:00,Pub,https://www.google.com/maps/place/Bodega+Cafe+%26+Pub/data=!4m7!3m6!1s0x14cab749d6d34cab:0x800b9a34d49f67b4!8m2!3d41.0358375!4d28.9816629!16s%2Fg%2F11f7r5_1t7!19sChIJq0zT1km3yhQRtGef1DSaC4A?authuser=0&hl=tr&rclk=1
The Red Balloon Restoran & Bar,"4,7 yıldızlı 401 Yorum",Açık,⋅ Açılış saati: 21:00,Restoran,https://www.google.com/maps/place/The+Red+Balloon+Restoran+%26+Bar/data=!4m7!3m6!1s0x14cacb245fc93089:0x32a7320e134677f2!8m2!3d41.028916!4d28.974298!16s%2Fg%2F11swmjzx0y!19sChIJiTDJXyTLyhQR8ndGEw4ypzI?authuser=0&hl=tr&rclk=1
Harmony Hilltop bar,"4,9 yıldızlı 699 Yorum",Kapalı,⋅ Açılış saati: 15:00,Bar,https://www.google.com/maps/place/Harmony+Hilltop+bar/data=!4m7!3m6!1s0x14cab94f130b5503:0xa3ef2329b7ce0791!8m2!3d41.01312!4d28.977742!16s%2Fg%2F11t2vp83lb!19sChIJA1ULE0-5yhQRkQfOtykj76M?authuser=0&hl=tr&rclk=1
Riot Pub,"4,5 yıldızlı 2 Yorum",Kapalı,⋅ Açılış saati: 20:00,Pub,https://www.google.com/maps/place/Riot+Pub/data=!4m7!3m6!1s0x14cab76145900695:0x2574ae690e080081!8m2!3d41.0347372!4d28.9810182!16s%2Fg%2F11j00s38gc!19sChIJlQaQRWG3yhQRgQAIDmmudCU?authuser=0&hl=tr&rclk=1
Eskici pera,"3,7 yıldızlı 353 Yorum",Kapalı,⋅ Kapanış saati: 02:30,Bar,https://www.google.com/maps/place/Eskici+pera/data=!4m7!3m6!1s0x14cab91ea1ea53fb:0xba71e5953c58c43f!8m2!3d41.0286529!4d28.9745297!16s%2Fg%2F11fkhmfrw9!19sChIJ-1PqoR65yhQRP8RYPJXlcbo?authuser=0&hl=tr&rclk=1
Taksim Sahra Club,"3,2 yıldızlı 103 Yorum",Açık,⋅ Kapanış saati: 03:00,Bar,https://www.google.com/maps/place/Taksim+Sahra+Club/data=!4m7!3m6!1s0x14cab761635bcc1f:0xdded0f485440d621!8m2!3d41.033495!4d28.9816358!16s%2Fg%2F1td7qj53!19sChIJH8xbY2G3yhQRIdZAVEgP7d0?authuser=0&hl=tr&rclk=1
